comm_i,comm_j,n_companies,exit_rate,failure_rate,ipo_rate,ma_rate,survival_rate,avg_capital,avg_rounds,risk_adjusted
1,9,130,5.384615384615385,4.615384615384616,0.7692307692307693,4.615384615384616,89.99999999999999,14.464764735779873,10.061538461538461,0.7692307692307692
1,21,116,12.068965517241379,6.0344827586206895,3.4482758620689653,8.620689655172415,81.89655172413794,13.939348579354718,9.181034482758621,6.0344827586206895
4,9,56,3.571428571428571,7.142857142857142,3.571428571428571,0.0,89.28571428571429,13.291130608532882,10.589285714285714,-3.571428571428571
4,21,66,13.636363636363635,3.0303030303030303,3.0303030303030303,10.606060606060606,83.33333333333334,13.459473701234396,8.93939393939394,10.606060606060606
4,23,56,10.714285714285714,1.7857142857142856,3.571428571428571,7.142857142857142,87.5,16.321446733821734,9.285714285714286,8.928571428571427
9,13,14,21.428571428571427,0.0,14.285714285714285,7.142857142857142,78.57142857142857,51.60921225203368,15.571428571428571,21.428571428571427
9,21,24,12.5,8.333333333333332,8.333333333333332,4.166666666666666,79.16666666666666,23.209788926049796,10.25,4.166666666666668
9,23,20,10.0,5.0,10.0,0.0,85.0,23.232737074690018,12.6,5.0
13,21,17,5.88235294117647,11.76470588235294,5.88235294117647,0.0,82.35294117647058,43.907741445441815,9.705882352941176,-5.88235294117647
21,23,15,13.333333333333334,0.0,13.333333333333334,0.0,86.66666666666667,32.94934708994709,8.733333333333333,13.333333333333334
1,5,377,7.6923076923076925,6.631299734748011,1.0610079575596816,6.631299734748011,85.67639257294431,9.469524272749512,9.116710875331565,1.0610079575596814
1,11,233,6.008583690987124,5.579399141630901,0.8583690987124464,5.150214592274678,88.41201716738198,6.439130913130913,8.40343347639485,0.42918454935622297
3,5,256,7.03125,2.734375,0.78125,6.25,90.234375,8.272285414055732,9.55078125,4.296875
0,13,38,7.894736842105263,5.263157894736842,2.631578947368421,5.263157894736842,86.8421052631579,24.723338652575503,11.736842105263158,2.6315789473684212
0,17,9,11.11111111111111,0.0,0.0,11.11111111111111,88.88888888888889,26.069696649029986,11.777777777777779,11.11111111111111
0,21,54,7.4074074074074066,5.555555555555555,1.8518518518518516,5.555555555555555,87.03703703703704,11.047021601854935,11.944444444444445,1.8518518518518512
0,26,9,11.11111111111111,0.0,11.11111111111111,0.0,88.88888888888889,30.078857142857146,9.333333333333334,11.11111111111111
13,17,13,0.0,0.0,0.0,0.0,100.0,29.971547619047623,9.307692307692308,0.0
13,26,12,0.0,0.0,0.0,0.0,100.0,23.975783882783876,9.166666666666666,0.0
0,8,119,3.361344537815126,4.201680672268908,1.680672268907563,1.680672268907563,92.43697478991596,6.219095416325038,11.546218487394958,-0.8403361344537816
1,8,205,4.878048780487805,3.414634146341464,0.975609756097561,3.902439024390244,91.70731707317073,9.952631003013856,9.331707317073171,1.463414634146341
7,8,245,8.16326530612245,3.2653061224489797,2.0408163265306123,6.122448979591836,88.57142857142857,12.105024311122763,9.653061224489797,4.8979591836734695
0,9,101,5.9405940594059405,7.920792079207921,1.9801980198019802,3.9603960396039604,86.13861386138613,7.035974863044836,12.128712871287128,-1.9801980198019802
