investor,green_focus,investor_type,betweenness,degree,total_deals,n_green_neighbors,n_trad_neighbors,cross_type,bridge_score
Speedinvest,TRADITIONAL,IVC,0.00382467639622654,183,43,103,77,True,31.02577492618969
Samsung Venture Investment,TRADITIONAL,GVC,0.0037970137856618096,57,13,33,22,True,2.969264780387535
LVX,TRADITIONAL,IVC,0.0037466608098647375,89,14,42,44,True,7.249788667088268
U.S. Department of Energy,GREEN_VC,GVC,0.0037401248503420303,88,569,54,33,True,6.9940334701395965
SBI Investment,GREEN_VC,CVC,0.0037327169360268303,146,19,82,63,True,19.828192364174523
Neglected Climate Opportunities,GREEN_VC,GVC,0.003719683516944151,259,56,178,73,True,49.270927865442225
Denmark's Export and Investment Fund,GREEN_VC,GVC,0.0037126436017931247,80,30,53,25,True,5.212551616917547
The Climate Pledge Fund,GREEN_VC,GVC,0.0037028319846032277,277,33,160,111,True,66.76946634636539
Keiretsu Forum,TRADITIONAL,Angel_Network,0.0036952643028811713,146,46,76,65,True,18.779333187242113
Astanor,GREEN_VC,IVC,0.003692222800716055,151,29,101,46,True,17.70051610663277
Giant Ventures,GREEN_VC,IVC,0.003687152836217851,146,17,69,72,True,18.84135099307322
Idemitsu Kosan,TRADITIONAL,GVC,0.0036438710860694306,63,8,41,20,True,3.2138942979132374
Greycroft,GREEN_VC,IVC,0.003624300151399626,165,14,60,98,True,21.887148614302344
EIT Climate-KIC,GREEN_VC,GVC,0.003609417428106223,102,199,76,25,True,7.226053691068659
Katapult Ocean,GREEN_VC,Impact_VC,0.003585083181690917,162,45,106,55,True,21.481818424691976
Mirova,GREEN_VC,IVC,0.003571491748120492,51,15,36,14,True,1.9821779202068732
Eneos Innovation Partners,GREEN_VC,GVC,0.003570979003301823,75,15,37,38,True,5.292190882893301
Legend Capital,TRADITIONAL,IVC,0.0035704409317755684,38,19,25,13,True,1.299640499166307
DSC Investment,GREEN_VC,GVC,0.003536136333791086,76,16,35,41,True,5.346638136692121
Carbon Zero Venture Capital,GREEN_VC,GVC,0.0035275124496286113,26,3,17,9,True,0.63495224093315
ZhenFund,GREEN_VC,OTHER,0.0035211575647475127,47,21,24,23,True,2.1126945388485074
Korea Investment Partners,GREEN_VC,GVC,0.003519184681651701,72,12,37,34,True,4.680515626596763
The Yield Lab,GREEN_VC,IVC,0.0034983939133620794,114,35,79,34,True,9.795502957413822
Shenzhen Guozhong Venture Capital Management,GREEN_VC,GVC,0.0034916144958767417,50,10,25,25,True,2.3603313992126775
Khosla Ventures,GREEN_VC,IVC,0.003471118951898453,237,49,119,112,True,47.068372987743025
Almi Invest,GREEN_VC,IVC,0.0034705860742780615,109,59,85,24,True,7.461760059697832
Wind Capital,GREEN_VC,GVC,0.0034682349417092507,72,15,46,25,True,4.238183098768704
Mitsubishi,TRADITIONAL,GVC,0.003466360597031993,140,15,78,61,True,16.9782342042627
Purpose Venture Capital,GREEN_VC,OTHER,0.0034482679684079702,9,2,2,7,True,0.08275843124179129
Shorooq Partners,GREEN_VC,IVC,0.003443242523439169,47,5,31,16,True,1.873123932750908
William Gates,TRADITIONAL,GVC,0.003435863245822576,127,9,68,53,True,12.802026453934918
Sand Hill Angels,TRADITIONAL,Angel_Network,0.003434588338725745,274,29,135,128,True,60.25641781460447
Wavemaker Partners,GREEN_VC,IVC,0.0034132307760823192,127,26,64,62,True,13.977180028057099
Redstone VC,GREEN_VC,IVC,0.00338362291561903,122,23,86,33,True,10.008756584401091
Founder One,TRADITIONAL,OTHER,0.003382231729146722,21,4,13,7,True,0.3788099536644329
Standish Spring Investments,TRADITIONAL,IVC,0.0033402302560536705,107,9,63,41,True,8.978538928272267
Scottish Enterprise,GREEN_VC,GVC,0.003309787109603107,137,69,98,38,True,12.779088030177597
Thomas McInerney,TRADITIONAL,Angel_Network,0.003300709620764919,88,9,46,41,True,6.515600791389949
SFC Capital,TRADITIONAL,GVC,0.003280171888811556,106,66,65,39,True,8.659653786462508
