Company ID,Companies,Business Status,Ownership Status,Success Class,Success Probability,IPO Probability,M&A Probability,Total Raised,outcome,n_investors_matched,pct_green,pct_esg,pct_traditional,pct_gvc,pct_ivc,pct_cvc,pct_impact,green_quartile
530256-97,Tewke,Generating Revenue,Privately Held (backing),No Exit,34.0,1.0,33.0,4.84,Active / Private,9,77.77777777777779,11.11111111111111,11.11111111111111,44.44444444444444,33.33333333333333,0.0,0.0,"Q3
(50-75%)"
500912-92,Zuno Carbon,Generating Revenue,Privately Held (backing),Success,77.0,1.0,76.0,2.78,Active / Private,5,80.0,0.0,20.0,20.0,40.0,0.0,0.0,"Q3
(50-75%)"
522994-60,Caliche,Profitable,Privately Held (backing),,,,,0.29,Active / Private,8,75.0,0.0,25.0,75.0,0.0,0.0,0.0,"Q3
(50-75%)"
168941-80,ProsumerGrid,Generating Revenue,Privately Held (backing),No Exit,31.0,1.0,30.0,1.02,Active / Private,7,71.42857142857143,14.285714285714285,14.285714285714285,42.857142857142854,28.57142857142857,0.0,0.0,"Q3
(50-75%)"
491365-09,Meadow (Other Containers and Packaging),Generating Revenue,Privately Held (backing),No Exit,18.0,1.0,17.0,11.63,Active / Private,4,25.0,25.0,50.0,0.0,50.0,0.0,25.0,"Q1
(0-25%)"
554400-19,Aroundrs,Generating Revenue,Privately Held (backing),,,,,0.05,Active / Private,4,50.0,0.0,50.0,25.0,0.0,0.0,25.0,"Q1
(0-25%)"
458209-09,Woola,Generating Revenue,Privately Held (backing),No Exit,46.0,2.0,44.0,5.48,Active / Private,19,63.1578947368421,5.263157894736842,31.57894736842105,63.1578947368421,10.526315789473683,0.0,0.0,"Q2
(25-50%)"
463166-65,Green-Got,Generating Revenue,Privately Held (backing),Success,63.0,1.0,62.0,15.78,Active / Private,9,33.33333333333333,11.11111111111111,55.55555555555556,0.0,33.33333333333333,0.0,0.0,"Q1
(0-25%)"
460261-99,Endera,Generating Revenue,Privately Held (backing),Success,84.0,24.0,60.0,61.72,Active / Private,9,33.33333333333333,0.0,66.66666666666666,22.22222222222222,33.33333333333333,0.0,0.0,"Q1
(0-25%)"
538982-56,Solvari (Energy Equipment),Generating Revenue,Privately Held (backing),,,,,1.99,Active / Private,4,100.0,0.0,0.0,100.0,0.0,0.0,0.0,"Q4
(75-100%)"
540771-94,Acca Industries,Startup,Privately Held (backing),,,,,0.45,Active / Private,3,100.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,"Q4
(75-100%)"
