,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],model,n,pseudo_r2,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,p,-log2(p)
C(region)[T.Oceania],1.0321757036002162,0.2871017136629666,3.5951568885858483,0.00032419614626513966,0.46946668492107047,1.5948847222793618,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
Pure_Green,-0.29205100855239996,0.06103185803267986,-4.7852223079300575,1.7079818032297204e-06,-0.4116712522060141,-0.17243076489878584,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
Pure_Non_Green,0.028535342025312042,0.06785331024139793,0.4205445824793728,0.6740876679058445,-0.1044547022796507,0.1615253863302748,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
post_paris_agreement,-24.56932710245032,115636.36354698683,-0.0002124705961759771,0.9998304729929621,-226667.67718237703,226618.53852817212,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
post_trump_election,0.2827552979103301,0.10080807669860882,2.804887338101871,0.005033416976266498,0.08517509823030539,0.4803354975903548,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
post_eu_green_deal,0.23354574169162867,0.09386486259454822,2.488106147882363,0.012842539575041776,0.04957399159251327,0.41751749179074404,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
post_covid_pandemic,0.09200952874431191,0.15928471441046635,0.5776419230486194,0.5635058967667458,-0.22018277478795029,0.4042018322765741,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
post_inflation_reduction_act,0.05564033643714488,0.10949290677963211,0.5081638443404181,0.6113384443993463,-0.15896181741353557,0.2702424902878253,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
company_age_z,0.27783637142762196,0.024596988089644518,11.295544414423357,1.3804595968810603e-29,0.22962716064375804,0.3260455822114859,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
oil_price_z,0.011483125976515665,0.05711423416473769,0.20105541367138463,0.8406552447745828,-0.10045871599095729,0.12342496794398863,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
interest_rate_z,-0.09039607329291077,0.08829915525626326,-1.0237478833241587,0.30595437231511446,-0.2634592374604974,0.08266709087467583,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
vix_z,-0.056028900184531175,0.03521032424339087,-1.5912633975544273,0.1115503105190019,-0.1250398675855548,0.012982067216492463,Model 2 — Exit Success | Model B,32503,0.039,,,,,,,,,,
Intercept,-49.22090357731223,,,,,,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2013],-9.25344723086878,285977.52883431397,-3.235725292328799e-05,0.9999741826474671,-560514.9103502511,560496.4034557893,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2014],18.277641314321706,4418.718751708286,0.004136412010213488,0.9966996301314359,-8642.251969845704,8678.807252474347,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2015],18.78380767966908,4418.718799933089,0.004250962446389102,0.9966082329107336,-8641.745897999233,8679.313513358571,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2016],18.502175787600528,4418.718815346066,0.004187226334326384,0.9966590865178871,-8642.027560100181,8679.031911675382,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2017],18.653672852199733,4418.7188253746635,0.004221511616688597,0.9966317310622074,-8641.876082691273,8679.183428395674,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2018],18.683865869383233,4418.718838475424,0.004228344584112455,0.9966262791916536,-8641.845915351107,8679.213647089873,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2019],18.631042844715846,4418.718836139091,0.004216390210741479,0.9966358173165752,-8641.898733796646,8679.160819486078,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2020],18.64082719131866,4418.7188090609525,0.004218604531497702,0.9966340505599441,-8641.888896377868,8679.170550760506,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2021],18.42160502823892,4418.718824442509,0.004168992361844408,0.9966736349960283,-8642.108148688243,8678.951358744722,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2022],18.107082876485375,4418.7187807091295,0.004097812912542829,0.9967304274945081,-8642.422585124148,8678.63675087712,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2023],18.192077460082317,4418.718837733384,0.004117047978869387,0.9967150802615223,-8642.337702306038,8678.721857226203,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2024],17.447390886646268,4418.718797811104,0.003948518039955193,0.9968495466042157,-8643.082310633243,8677.977092406534,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2025],16.590246871184164,4418.718799072894,0.003754537825458596,0.9970043192742472,-8643.939457121767,8677.119950864137,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(inv_year)[T.2026],14.37195162188456,4418.718955830652,0.0032525154384214178,0.9974048727234913,-8646.158059610627,8674.901962854396,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(region)[T.Americas],-0.8197398961032334,0.1488783003437333,-5.5061072984484705,3.6685498443941105e-08,-1.1115360028564878,-0.527943789349979,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(region)[T.Asia],-1.5432507968005418,0.15262100916567378,-10.111653731271728,4.904924302543542e-24,-1.8423824780494198,-1.2441191155516638,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(region)[T.Europe],-0.7344886695361366,0.1437565955615102,-5.109251973220704,3.234367714419329e-07,-1.016246419376787,-0.452730919695486,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(region)[T.Middle East],-0.6231205787353576,0.18723031559659067,-3.3280966105827803,0.0008744153715963417,-0.9900852541187433,-0.25615590335197197,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
C(region)[T.Oceania],-0.638188706871871,0.18007675784606927,-3.5439815471211373,0.00039413282982535855,-0.9911326667029074,-0.28524474704083463,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
Pure_Green,28.843880343648372,,,,,,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
Pure_Non_Green,28.73883220783708,,,,,,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
post_paris_agreement,28.972127662275334,,,,,,Model 3 — Failure | Model C,32503,0.0741,,,,,,,,,,
