Companies,outcome,pct_green,pct_traditional,pct_ivc,pct_gvc,pct_cvc,pct_impact,Total Raised,exited,failed,pure_green,pure_trad,pure_ivc,mixed_syn,syndicate,hq_country,hq_region,first_ym,n_rounds,avg_deal_size_M,n_communities,cross_community,specter_novelty,bge_novelty,log_capital,deal_year,is_us,cpu_narrow,cpu_broad,cpu_sentiment,country_cpu_col,cpu_country,CPU_pos_US,CPU_neg_US,oil_price,interest_rate,vix,cpu_narrow_z,cpu_broad_z,cpu_country_z,CPU_pos_US_z,CPU_neg_US_z,oil_price_z,interest_rate_z,vix_z,specter_novelty_z,bge_novelty_z
Perfekto,Failed,50.0,50.0,87.5,0.0,0.0,0.0,1.33,0,1,0,0,1,1,ivc,Mexico,Americas,2021-09,5.0,0.4466666666666667,3.0,1,0.4982,0.4979,0.8458682675776092,2021.0,0,547.6861586784817,405.5224236303848,,CPU_MEX,547.6861586784817,328.611695207089,109.53723173569634,75.22,0.08,23.14,1.280586593852319,1.5728191841907615,1.3354455733720392,1.1837704698091234,-0.48436328875422996,0.4932375980713673,-0.9562798065456296,0.4867892651919533,0.9370010732812404,0.21518566013220466
Permalution,Active / Private,83.33333333333334,16.666666666666664,11.11111111111111,44.44444444444444,0.0,5.555555555555555,0.04,0,0,1,0,0,0,green,Canada,Americas,2019-12,18.0,0.055714285714285716,6.0,1,0.4849,0.454,0.039220713153281295,2019.0,0,511.0166266381334,406.6881338827288,90.82762257418993,CPU_CAN,166.3448572385106,321.7844855318048,298.0629341519062,61.14,1.55,13.78,1.0519496038426146,1.5847121331266159,-0.8646415039946704,1.1277795936654866,2.1348752311919297,-0.27111826684120555,-0.1829595972986403,-0.838467879600557,0.7730066747816469,-0.2682457819956624
Perpetual Next,Active / Private,100.0,0.0,0.0,100.0,0.0,0.0,520.0,0,0,1,0,0,0,green,Netherlands,Europe,2021-01,3.0,260.0,0.0,0,0.5067,0.4243,6.255750041753367,2021.0,0,257.0615514640529,166.27685026874,,CPU_DEU,257.0615514640529,51.41231029281059,154.23693087843174,52.16,0.09,33.09,-0.5314773109487031,-0.868040696210896,-0.34126618138104975,-1.0895794294938614,0.13666170849617237,-0.758612277275503,-0.9510191248500719,1.8955829180429662,1.0418095234501543,-0.5953053225696409
Perse,Active / Private,50.0,37.5,12.5,12.5,0.0,12.5,2.76,0,0,0,0,0,1,mixed,United Kingdom,Europe,2022-09,7.0,0.92,4.0,1,0.4446,0.614,1.324418957401803,2022.0,0,399.5879396000383,305.7251437454912,,CPU_UK,399.5879396000383,239.75276376002296,79.91758792000766,79.91,2.56,31.62,0.3571842717655409,0.554655407024283,0.4810168064245449,0.45502627393066747,-0.89587700298435,0.7478419309151149,0.3483692539526925,1.6874495844056805,0.2760913169219757,1.4936911369213928
Persefoni,Active / Private,44.0,56.00000000000001,36.0,28.000000000000004,4.0,8.0,168.08,0,0,0,0,0,1,mixed,United States,Americas,2021-01,7.0,42.019999999999996,4.0,1,0.4487,0.397,5.130371975698589,2021.0,1,257.0615514640529,166.27685026874,,CPU_US,257.0615514640529,51.41231029281059,154.23693087843174,52.16,0.09,33.09,-0.5314773109487031,-0.868040696210896,-0.34126618138104975,-1.0895794294938614,0.13666170849617237,-0.758612277275503,-0.9510191248500719,1.8955829180429662,0.3266459811210985,-0.8959358093598633
Pertinent Eco-Solutions,Active / Private,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0,0,1,0,0,0,green,United States,Americas,2023-11,2.0,2.5,2.0,1,0.2922,0.466,0.0,2023.0,1,432.7854105225091,301.0517750364916,,CPU_US,432.7854105225091,259.67124631350543,86.55708210450183,75.66,5.33,12.92,0.5641727279939104,0.5069762043212149,0.6725442557251875,0.6183804614633369,-0.8036327164064241,0.5171237188498851,1.8055780836221895,-0.9602329591434584,-1.6030625425771279,-0.1361005130768831
Petra Nova,Acquired,50.0,50.0,0.0,100.0,0.0,0.0,0.0,1,0,0,0,0,1,mixed,United States,Americas,2016-12,3.0,92.375,2.0,1,0.5795,0.5569,0.0,2016.0,1,351.1231847818375,275.5385343090123,137.1467920098174,CPU_US,186.7167843000441,18.34784286543747,222.4394586844151,53.75,0.54,14.04,0.05500327717310161,0.2466819600611556,-0.7471089595262544,-1.360745628941852,1.0842178544096268,-0.6722965226440404,-0.7142884485499731,-0.8016551811340984,1.9394630731321407,0.8648998989828682
Petra Power,Active / Private,55.55555555555556,22.22222222222222,77.77777777777779,0.0,0.0,0.0,3.47,0,0,0,0,1,1,ivc,United States,Americas,2018-01,7.0,1.1566666666666667,4.0,1,0.4879,0.5626,1.4973884086254776,2018.0,1,197.2332525554197,154.8731925884962,135.4636000399107,CPU_US,176.3251532917304,174.8019205090631,217.6273336380673,64.82,1.41,13.54,-0.9045107645749871,-0.9843844601954699,-0.8070617970705326,-0.07764443531305942,1.0173617009904734,-0.07134343851178349,-0.2566091410364489,-0.8724488320311342,0.8099978924883222,0.9276689017192887
Pexapark,Active / Private,45.45454545454545,45.45454545454545,27.27272727272727,36.36363636363637,9.090909090909092,0.0,38.64,0,0,0,0,0,1,mixed,Switzerland,Europe,2018-10,6.0,7.728,4.0,1,0.4044,0.4492,3.6798387094617873,2018.0,0,208.0067230923123,163.2956958347696,73.45791778939005,CPU_DEU,151.7590647674893,90.76252914301196,185.2733597389956,65.31,2.19,21.23,-0.8373374536965437,-0.8984553874961577,-0.9487918790195432,-0.7668629267558793,0.567859200144759,-0.04474298582661532,0.1537240312170557,0.21635751876527656,-0.2195910003474731,-0.3211038895631743
PfBBIO,Active / Private,50.0,50.0,0.0,50.0,0.0,0.0,0.09,0,0,0,0,0,1,mixed,United Kingdom,Europe,2023-06,4.0,0.056666666666666664,1.0,0,0.2907,0.3871,0.08617769624105233,2023.0,0,341.8180541810245,264.9357212649188,,CPU_UK,341.8180541810245,205.09083250861468,68.3636108362049,70.66,5.08,13.59,-0.0030148357898931713,0.13850866926589894,0.14772277849892024,0.17075905615021017,-1.0563995282878778,0.24569052818490889,1.6740610412332457,-0.8653694669414305,-1.6215581514304656,-1.0049556562178563
Phantm,Active / Private,71.42857142857143,28.57142857142857,42.857142857142854,14.285714285714285,0.0,14.285714285714285,1.89,0,0,1,0,0,1,green,Australia,Oceania,2023-11,2.0,1.89,1.0,0,0.4973,0.5668,1.0612565021243408,2023.0,0,432.7854105225091,301.0517750364916,,CPU_AUS,432.7854105225091,259.67124631350543,86.55708210450183,75.66,5.33,12.92,0.5641727279939104,0.5069762043212149,0.6725442557251875,0.6183804614633369,-0.8036327164064241,0.5171237188498851,1.8055780836221895,-0.9602329591434584,0.9259037079692383,0.9739197458408613
Phase Biolabs,Active / Private,66.66666666666666,33.33333333333333,33.33333333333333,22.22222222222222,0.0,0.0,0.44,0,0,1,0,0,1,green,United Kingdom,Europe,2020-12,7.0,0.29333333333333333,5.0,1,0.539,0.5217,0.36464311358790924,2020.0,0,511.2711537443506,396.731139063225,65.74856004229605,CPU_UK,511.2711537443506,306.76269224661036,102.25423074887013,48.35,0.09,22.75,1.0535365974092996,1.483127686472899,1.1253550810091546,1.0045838215579561,-0.5855479892009999,-0.9654443685622146,-0.9510191248500719,0.4315702174922653,1.4400816340920248,0.47727377682111716
Phaxtec,Active / Private,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0,0,1,0,0,1,green,United States,Americas,2022-04,4.0,0.655,3.0,1,0.5058,0.5091,0.0,2022.0,1,411.1465749693597,296.3402897499734,,CPU_US,411.1465749693597,246.6879449816158,82.22931499387194,104.59,0.33,33.4,0.42925313799905324,0.4589081240998039,0.5477024872359659,0.5119026394270468,-0.8637595541597853,2.087636160037438,-0.8247627641566858,1.9394749815991277,1.0307121581381518,0.3385212444563984
PheroSyn,Active / Private,66.66666666666666,33.33333333333333,26.666666666666668,26.666666666666668,0.0,0.0,1.34,0,0,1,0,0,1,green,United Kingdom,Europe,2020-06,12.0,0.39714285714285713,4.0,1,0.3695,0.5553,0.8501509293696101,2020.0,0,134.2082403879148,171.4231950736024,58.57721703127867,CPU_UK,134.2082403879148,26.84164807758296,80.52494423274888,39.27,0.08,30.43,-1.297475939626795,-0.8155360400603134,-1.0500485269851,-1.291086775875849,-0.8874388376346078,-1.4583670428098112,-0.9562798065456296,1.518960695270735,-0.6499221663351286,0.8472805297936984
Phinite,Active / Private,66.66666666666666,33.33333333333333,50.0,16.666666666666664,0.0,0.0,10.07,0,0,1,0,0,1,green,United States,Americas,2018-11,9.0,1.4442857142857142,5.0,1,0.4848,0.5757,2.4042387467205457,2018.0,1,194.8955115904181,144.4661349851958,91.6751064908421,CPU_US,172.4025222925722,62.98093026848336,232.5200440721469,50.78,2.2,18.07,-0.9190867361764856,-1.0905605913564296,-0.8296927833758135,-0.9947036018836989,1.2242701507955192,-0.8335278378990362,0.15898471291261354,-0.2310583549039897,0.7717736341914245,1.0719274869556226
